"ÿ??
ÿÿÿÿÿÿÿÿ?",ÿÿÿ??ÿÿ?,ÿÿÿÿÿÿÿÿÿ,ÿÿÿ??ÿ,"ÿ??
ÿÿ?ÿÿÿ?
ÿ??ÿÿ?ÿÿ",ÿÿÿÿÿÿ,ÿÿÿÿÿÿÿÿÿ?,ÿÿÿÿÿÿÿÿÿ?,ÿÿÿÿÿ,ÿÿ?ÿÿÿÿ?,ÿÿÿÿ?ÿÿÿ,"ÿÿ?ÿÿÿÿ?ÿÿ?/
ÿÿÿÿÿ?",ÿÿÿ?ÿÿÿ/ÿ?ÿÿÿÿ,2 ÿ?ÿ?ÿÿÿ,3 ÿ?ÿ?ÿÿÿ,4-9 ÿ?ÿ?ÿÿÿ,10 ÿ?ÿ?ÿÿÿ/ÿÿÿ?ÿÿÿ,ÿÿ?ÿÿÿÿÿÿÿÿÿÿÿÿÿ?,ÿÿ?ÿÿÿÿÿ?/ÿ?ÿÿ? ÿÿÿÿÿÿÿÿÿ,ÿÿ?ÿÿÿÿÿ?/ÿ?ÿÿ?ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ???,ÿÿ??ÿÿÿ?ÿ,ÿ?ÿ??ÿÿÿ?ÿÿ,ÿÿ?ÿÿÿÿÿ?ÿ,ÿÿÿÿÿ,ÿÿÿ?ÿ,ÿÿÿÿ??ÿÿ,ÿ??ÿ,ÿÿÿÿ?,ÿÿÿÿ?ÿ,ÿ??ÿ?,ÿ?ÿ?ÿ,ÿ?ÿ?ÿ,ÿ?ÿÿ?,ÿÿÿ?ÿ,ÿÿ??ÿ?,ÿ?ÿ?ÿ,latitude,longitude
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿ,ÿÿÿÿÿÿ,3,ÿ?ÿÿÿ,80090703,,,,/,/,,,,,,/,,,ÿÿÿÿ?,,,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.058406,99.612156
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿ,ÿÿÿÿÿÿ,4,ÿ?ÿ??,80090704,,,,/,/,,,,,,/,,,ÿÿÿÿ?,,,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.036292,99.621234
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿ,ÿÿÿÿÿÿ,5,ÿÿÿÿ,80090705,,,,/,/,,,,,,/,,,ÿÿÿÿ?,,,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.013227,99.612928
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿ,ÿÿÿÿÿÿ,6,ÿ?ÿÿÿ,80090706,,,,/,/,,,,,,/,,,ÿÿÿÿ?,,,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,7.994525,99.598426
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿ,ÿÿÿÿÿÿ,7,??ÿÿÿÿ,80090707,,,,/,/,,,,,,/,,,ÿÿÿÿ?,,,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.071066,99.581093
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿ,ÿÿÿÿÿÿ,8,ÿÿ?ÿÿÿ,80090708,,,,/,/,,,,,,/,,,ÿÿÿÿ?,,,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.074399,99.587828
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿ,ÿÿÿÿÿÿ,9,ÿ?ÿ,80090709,,,,/,/,,,,,,/,,,ÿÿÿÿ?,,,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.023855,99.592714
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿ,ÿÿÿÿÿÿ,10,ÿ?ÿÿ,80090710,,,,/,/,,,,,,/,,,ÿÿÿÿ?,,,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.058124,99.577281
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿ,ÿÿÿÿÿÿ,11,ÿ?ÿÿ,80090711,,,,/,/,,,,,,/,,,ÿÿÿÿ?,,,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.053845,99.631484
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿ?ÿ?,ÿÿÿÿÿÿ,1,ÿÿÿÿ?,80090401,,,,/,/,,,,,,/,,,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.161541,99.592648
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿ?ÿ?,ÿÿÿÿÿÿ,2,ÿÿÿÿÿÿÿ,80090402,,,,/,/,,,,,,/,,,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.160327,99.649622
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿ?ÿ?,ÿÿÿÿÿÿ,3,ÿ?ÿÿÿÿ,80090403,,,,/,/,,,,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.138264,99.652739
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿ?ÿ?,ÿÿÿÿÿÿ,4,ÿÿ?ÿ,80090404,,,/,/,/,,,,,,/,,,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.158004,99.613887
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿ?ÿ?,ÿÿÿÿÿÿ,6,ÿÿÿÿ,80090406,,,,/,/,,,,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.147872,99.629558
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿ?ÿ?,ÿÿÿÿÿÿ,7,??ÿÿ?,80090407,,,,/,/,,,,,,/,,,ÿÿÿÿ?,,,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.150572,99.648279
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿ?ÿ?,ÿÿÿÿÿÿ,8,ÿÿÿÿÿ,80090408,,,,/,/,,,,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.114189,99.643775
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿ?ÿ?,ÿÿÿÿÿÿ,9,??ÿÿÿ,80090409,,,,/,/,,,,,,/,,,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.173768,99.568610
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿ?ÿ?,ÿÿÿÿÿÿ,11,ÿÿÿÿ,80090411,,,,/,/,,,,,,/,,,ÿÿÿÿ?,,,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.156186,99.579644
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿ?ÿ?,ÿÿÿÿÿÿ,12,ÿÿÿÿÿÿ,80090412,,,/,/,/,,,,,,/,,,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.165443,99.565790
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿ?ÿ?,ÿÿÿÿÿÿ,13,??ÿÿÿÿ,80090413,,,,/,/,,,,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.122817,99.654512
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿÿÿ,1,ÿÿ?ÿ?,80090901,,,,/,/,,,,,,,/,,,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.095767,99.667448
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿÿÿ,6,ÿÿÿÿÿÿ?,80090906,,,,/,/,,,,,,,/,ÿÿÿÿ?,,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.091459,99.672663
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿÿÿ,7,?ÿÿ?,80090907,,,/,/,/,,,,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.113229,99.657217
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿÿÿÿ,ÿÿÿÿÿÿ,1,ÿÿ?ÿÿ,80090501,,/,,/,/,,,,,,/,,,ÿÿÿÿ?,,,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.135471,99.606375
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿÿÿÿ,ÿÿÿÿÿÿ,2,ÿ?ÿÿÿ,80090502,,,,/,/,,,,,,/,,,ÿÿÿÿ?,,,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.125778,99.607037
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿÿÿÿ,ÿÿÿÿÿÿ,3,ÿÿÿ,80090503,,,,/,/,,,,,,/,,,ÿÿÿÿ?,,,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.129932,99.626093
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿÿÿÿ,ÿÿÿÿÿÿ,4,ÿ?ÿ?,80090504,,,,/,/,,,,,,/,,,ÿÿÿÿ?,,,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.105626,99.595344
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿÿÿÿ,ÿÿÿÿÿÿ,5,ÿÿÿÿ?,80090505,,,,/,/,,,,,,/,,,ÿÿÿÿ?,,,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.105448,99.597849
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿÿÿÿ,ÿÿÿÿÿÿ,6,ÿÿÿÿÿÿÿ,80090506,,,,/,/,,,,,,/,,,ÿÿÿÿ?,,,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.120879,99.598819
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿÿÿÿ,ÿÿÿÿÿÿ,7,ÿ?ÿÿÿ,80090507,,,,/,/,,,,,,/,,,ÿÿÿÿ?,,,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.136781,99.575289
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿÿÿÿ,ÿÿÿÿÿÿ,8,ÿ?ÿ?,80090508,,,,/,/,,,,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,,,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.102450,99.572737
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿÿÿÿ,ÿÿÿÿÿÿ,9,?ÿÿÿÿ,80090509,,,,/,/,,,,,,/,,,ÿÿÿÿ?,,,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.109973,99.577620
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿÿÿÿ,ÿÿÿÿÿÿ,10,ÿ?ÿÿ,80090510,,,,/,/,,,,,,/,,,ÿÿÿÿ?,,,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.131611,99.570466
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿÿÿÿ,ÿÿÿÿÿÿ,11,ÿ?ÿÿ?,80090511,,,,/,/,,,,,,/,,,ÿÿÿÿ?,,,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.099419,99.617370
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿÿÿÿ,ÿÿÿÿÿÿ,12,ÿ?ÿÿ?,80090512,,,,/,/,,,,,,/,,,ÿÿÿÿ?,,,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.136444,99.591184
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿÿÿÿ,ÿÿÿÿÿÿ,13,ÿÿÿ?ÿÿÿ,80090513,,,,/,/,,,,,,/,,,ÿÿÿÿ?,,,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.092149,99.533616
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿÿÿÿ,ÿÿÿÿÿÿ,14,?ÿÿÿÿ,80090514,,,,/,/,,,,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,,,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.142718,99.581431
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿ?ÿ?,ÿÿÿÿÿÿ,1,ÿÿÿÿÿÿ,80090601,,/,/,/,/,,,,,,/,,,ÿÿÿÿ?,,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,,,8.229960,99.676021
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿ?ÿ?,ÿÿÿÿÿÿ,3,ÿÿÿÿÿÿ,80090603,,,/,/,/,,,,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,,,8.196933,99.696073
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿ?ÿ?,ÿÿÿÿÿÿ,4,ÿÿÿ?,80090604,,,/,/,/,,,,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,,,ÿÿÿÿ?,,,8.209124,99.668761
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿ?ÿ?,ÿÿÿÿÿÿ,5,ÿ?ÿÿ?,80090605,,,/,/,/,,,,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,,,ÿÿÿÿ?,,,8.211153,99.683100
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿ?ÿ?,ÿÿÿÿÿÿ,6,ÿÿÿ?,80090606,,/,/,/,/,,,,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,,,ÿÿÿÿ?,,,8.191970,99.680952
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿ?ÿ?,ÿÿÿÿÿÿ,8,ÿÿÿ?ÿÿ,80090608,,,/,/,/,,,,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,,,ÿÿÿÿ?,,,8.216763,99.720747
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿÿÿÿ?ÿ?,ÿÿÿÿÿÿ,9,ÿÿ?ÿÿ,80090609,,,/,/,/,,,,,,/,,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,,ÿÿÿÿ?,,,8.212698,99.692896
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿ?ÿ?,ÿÿÿÿÿ,,,80090164,ÿ?ÿ?ÿ,,/,,/,,,,,,/,,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.180953,99.683595
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿ?ÿ?,ÿÿÿÿÿ,,,80090150,ÿÿ?ÿ,,/,,/,,,,,,/,,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.165162,99.673471
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿ?ÿ?,ÿÿÿÿÿ,,,80090167,ÿÿ??,,/,,/,,,,,,/,,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.169682,99.677334
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿ?ÿ?,ÿÿÿÿÿ,,,80090162,ÿÿÿ?ÿ?ÿ?ÿÿ?ÿÿÿÿ,,/,,/,,,,,,/,,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.158005,99.682044
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿ?ÿ?,ÿÿÿÿÿ,,,80090157,ÿÿÿÿÿÿ,,/,,/,,,,,,/,,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.161816,99.700104
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿ?ÿ?,ÿÿÿÿÿ,,,80090156,ÿÿÿÿÿ?ÿÿ,,/,,/,,,,,,/,,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.168742,99.702200
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿ?ÿ?,ÿÿÿÿÿ,,,80090152,ÿÿÿ?-ÿ??,,/,,/,,,,,,/,,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.169581,99.675854
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿ?ÿ?,ÿÿÿÿÿ,,,80090151,ÿÿÿ?-ÿÿÿÿÿ?,,/,,/,,,,,,/,,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.161670,99.673895
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿ?ÿ?,ÿÿÿÿÿ,,,80090163,ÿÿ?ÿÿÿ?ÿÿ,,/,,/,,,,,,/,,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.167691,99.693454
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿ?ÿ?,ÿÿÿÿÿ,,,80090155,ÿÿ?ÿÿÿ?,,/,,/,,,,,,/,,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.149604,99.692101
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿ?ÿ?,ÿÿÿÿÿ,,,80090165,ÿÿ?ÿ???ÿÿ?,,/,,/,,,,,,/,,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.171925,99.678140
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿ?ÿ?,ÿÿÿÿÿ,,,80090161,ÿÿ?ÿÿ?ÿÿ,,/,,/,,,,,,/,,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.171649,99.683214
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿ?ÿ?,ÿÿÿÿÿ,,,80090153,ÿÿÿÿÿ?ÿ,,/,,/,,,,,,/,,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.163388,99.677711
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿ?ÿ?,ÿÿÿÿÿ,,,80090154,ÿ?ÿÿÿ?ÿÿ,,/,,/,,,,,,/,,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.179366,99.688498
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿ?ÿ?,ÿÿÿÿÿ,,,80090169,ÿ?ÿÿ?ÿÿ,,/,,/,,,,,,/,,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.159674,99.677410
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿ?ÿ?,ÿÿÿÿÿ,,,80090159,ÿ??ÿÿÿÿ,,/,,/,,,,,,/,,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.177295,99.678385
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿ?ÿ?,ÿÿÿÿÿ,,,80090158,ÿÿÿÿÿÿ?ÿ,,/,,/,,,,,,/,,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.173736,99.698083
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿ?ÿ?,ÿÿÿÿÿ,,,80090166,ÿÿÿÿÿ?ÿ?ÿÿ,,/,,/,,,,,,/,,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.163489,99.686220
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿÿÿÿ?ÿÿÿÿ?,ÿÿÿ?,ÿ?ÿ?,ÿÿÿÿÿ,,,80090160,ÿÿ?ÿ?ÿÿ?ÿ?ÿÿ?,,/,,/,,,,,,/,,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,8.163421,99.682598
